date_start,date_stop,campaign_name,adset_name,ad_name,cpm,impressions,reach,video_play_actions,video_views_3_Sec,video_p95_watched_actions,video_avg_time_watched_actions,clicks,link_clicks,ctr,outbound_clicks_ctr,view_content,Add_to_cart,initiate_checkout,purchase,cpc,link_click_cost,view_content_cost,add_to_cart_cost,purchase_cost,spend,ROAS,conversion_value,age,gender,frequency
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 3 pestañas,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,45-54,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 3 pestañas,60,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,55-64,female,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 3 pestañas,20,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,65+,female,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,11.795305,53,48,29,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625151,0,0,18-24,female,1.104167
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,34.641492,167,151,118,24,6,4,5,3,2.994012,1.796407,1,0,0,0,1.157026,1.928376,5.785129,0,0,5.785129,0,0,25-34,female,1.10596
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,13.230713,3,3,3,0,0,1,1,0,33.333333,0,0,0,0,0,0.039692,0,0,0,0,0.039692,0,0,25-34,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,36.645998,215,191,180,47,7,5,8,5,3.72093,2.325581,4,0,0,0,0.984861,1.575778,1.969722,0,0,7.87889,0,0,35-44,female,1.125654
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,47.630566,5,3,4,1,0,3,1,1,20,20,0,0,0,0,0.238153,0.238153,0,0,0,0.238153,0,0,35-44,male,1.666667
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35-44,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,57.333089,162,147,148,47,13,11,8,2,4.938272,1.234568,2,0,0,0,1.160995,4.64398,4.64398,0,0,9.28796,0,0,45-54,female,1.102041
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,15.876855,5,3,4,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079384,0,0,45-54,male,1.666667
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,76.465737,102,89,87,36,7,11,12,4,11.764706,3.921569,5,2,2,0,0.649959,1.949876,1.559901,3.899753,0,7.799505,0,0,55-64,female,1.146067
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,29.769104,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029769,0,0,55-64,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,19.846069,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019846,0,0,55-64,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,98.102729,44,38,36,18,6,23,4,3,9.090909,6.818182,2,0,0,0,1.07913,1.43884,2.15826,0,0,4.31652,0,0,65+,female,1.157895
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 6 pestañas,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65+,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,50.282897,75,66,63,15,5,4,5,4,6.666667,5.333333,3,1,1,1,0.754243,0.942804,1.257072,3.771217,3.771217,3.771217,119.0597,449,18-24,female,1.136364
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,23.581445,11,9,9,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259396,0,0,18-24,male,1.222222
