campaign_name,adset_name,ad_name,cpm,impressions,reach,video_play_actions,video_p95_watched_actions,video_avg_time_watched_actions,clicks,ctr,actions,cost_per_action_type,spend,frequency,date_start,date_stop,age,gender,account_id,outbound_clicks_ctr,cpc,action_values,purchase_roas,link_clicks,view_content,video_views_3_Sec,Add_to_cart,initiate_checkout,purchase,link_click_cost,view_content_cost,add_to_cart_cost,purchase_cost,conversion_value,ROAS
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,18.740314,16,15,14,0,2,0,0,"[{'action_type': 'page_engagement', 'value': '5'}, {'action_type': 'post_engagement', 'value': '5'}, {'action_type': 'video_view', 'value': '5'}]","[{'action_type': 'page_engagement', 'value': '0.059969'}, {'action_type': 'post_engagement', 'value': '0.059969'}, {'action_type': 'video_view', 'value': '0.059969'}]",0.299845,1.066667,2024-08-06,2024-08-06,45-54,male,382451670462161,0,,,,0,0,5,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,48.156929,11,9,11,0,1,0,0,"[{'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'video_view', 'value': '1'}]","[{'action_type': 'page_engagement', 'value': '0.529726'}, {'action_type': 'post_engagement', 'value': '0.529726'}, {'action_type': 'video_view', 'value': '0.529726'}]",0.529726,1.222222,2024-08-06,2024-08-06,45-54,unknown,382451670462161,0,,,,0,0,1,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,68.138117,750,651,697,67,9,43,5.733333,"[{'action_type': 'web_in_store_purchase', 'value': '2'}, {'action_type': 'omni_add_to_cart', 'value': '3'}, {'action_type': 'omni_initiated_checkout', 'value': '3'}, {'action_type': 'onsite_web_app_view_content', 'value': '25'}, {'action_type': 'landing_page_view', 'value': '21'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '3'}, {'action_type': 'onsite_web_app_purchase', 'value': '2'}, {'action_type': 'page_engagement', 'value': '315'}, {'action_type': 'purchase', 'value': '2'}, {'action_type': 'onsite_web_add_to_cart', 'value': '3'}, {'action_type': 'post_engagement', 'value': '315'}, {'action_type': 'onsite_web_purchase', 'value': '2'}, {'action_type': 'view_content', 'value': '25'}, {'action_type': 'onsite_web_view_content', 'value': '25'}, {'action_type': 'add_to_cart', 'value': '3'}, {'action_type': 'video_view', 'value': '285'}, {'action_type': 'omni_view_content', 'value': '25'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '25'}, {'action_type': 'post_reaction', 'value': '4'}, {'action_type': 'offsite_conversion.fb_pixel_add_to_cart', 'value': '3'}, {'action_type': 'offsite_conversion.fb_pixel_initiate_checkout', 'value': '3'}, {'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '2'}, {'action_type': 'initiate_checkout', 'value': '3'}, {'action_type': 'link_click', 'value': '26'}, {'action_type': 'omni_purchase', 'value': '2'}]","[{'action_type': 'web_in_store_purchase', 'value': '25.551794'}, {'action_type': 'omni_purchase', 'value': '25.551794'}, {'action_type': 'initiate_checkout', 'value': '17.034529'}, {'action_type': 'omni_view_content', 'value': '2.044144'}, {'action_type': 'link_click', 'value': '1.965523'}, {'action_type': 'onsite_web_add_to_cart', 'value': '17.034529'}, {'action_type': 'page_engagement', 'value': '0.162234'}, {'action_type': 'purchase', 'value': '25.551794'}, {'action_type': 'post_engagement', 'value': '0.162234'}, {'action_type': 'onsite_web_purchase', 'value': '25.551794'}, {'action_type': 'view_content', 'value': '2.044144'}, {'action_type': 'onsite_web_app_purchase', 'value': '25.551794'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '17.034529'}, {'action_type': 'landing_page_view', 'value': '2.433504'}, {'action_type': 'omni_initiated_checkout', 'value': '17.034529'}, {'action_type': 'omni_add_to_cart', 'value': '17.034529'}, {'action_type': 'video_view', 'value': '0.179311'}, {'action_type': 'onsite_web_app_view_content', 'value': '2.044144'}, {'action_type': 'onsite_web_view_content', 'value': '2.044144'}, {'action_type': 'add_to_cart', 'value': '17.034529'}]",51.103587,1.152074,2024-08-06,2024-08-06,55-64,female,382451670462161,3.466667,1.188456,"[{'action_type': 'onsite_web_app_purchase', 'value': '1547'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '1347'}, {'action_type': 'onsite_web_add_to_cart', 'value': '1347'}, {'action_type': 'web_in_store_purchase', 'value': '1547'}, {'action_type': 'omni_purchase', 'value': '1547'}, {'action_type': 'omni_add_to_cart', 'value': '1347'}, {'action_type': 'initiate_checkout', 'value': '1347'}, {'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '1547'}, {'action_type': 'offsite_conversion.fb_pixel_initiate_checkout', 'value': '1347'}, {'action_type': 'offsite_conversion.fb_pixel_add_to_cart', 'value': '1347'}, {'action_type': 'view_content', 'value': '11225'}, {'action_type': 'purchase', 'value': '1547'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '11225'}, {'action_type': 'onsite_web_purchase', 'value': '1547'}, {'action_type': 'omni_initiated_checkout', 'value': '1347'}, {'action_type': 'omni_view_content', 'value': '11225'}, {'action_type': 'onsite_web_app_view_content', 'value': '11225'}, {'action_type': 'onsite_web_view_content', 'value': '11225'}, {'action_type': 'add_to_cart', 'value': '1347'}]","[{'action_type': 'omni_purchase', 'value': '30.271847'}]",26,25,285,3,3,2,1.965523,2.044144,17.034529,25.551794,1547,30.271847
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,29.984503,8,8,6,1,18,1,12.5,"[{'action_type': 'onsite_web_app_view_content', 'value': '1'}, {'action_type': 'landing_page_view', 'value': '1'}, {'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'view_content', 'value': '1'}, {'action_type': 'onsite_web_view_content', 'value': '1'}, {'action_type': 'video_view', 'value': '2'}, {'action_type': 'omni_view_content', 'value': '1'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]","[{'action_type': 'omni_view_content', 'value': '0.239876'}, {'action_type': 'link_click', 'value': '0.239876'}, {'action_type': 'page_engagement', 'value': '0.079959'}, {'action_type': 'post_engagement', 'value': '0.079959'}, {'action_type': 'view_content', 'value': '0.239876'}, {'action_type': 'landing_page_view', 'value': '0.239876'}, {'action_type': 'video_view', 'value': '0.119938'}, {'action_type': 'onsite_web_app_view_content', 'value': '0.239876'}, {'action_type': 'onsite_web_view_content', 'value': '0.239876'}]",0.239876,1,2024-08-06,2024-08-06,55-64,male,382451670462161,12.5,0.239876,"[{'action_type': 'view_content', 'value': '449'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '449'}, {'action_type': 'omni_view_content', 'value': '449'}, {'action_type': 'onsite_web_app_view_content', 'value': '449'}, {'action_type': 'onsite_web_view_content', 'value': '449'}]",,1,1,2,0,0,0,0.239876,0.239876,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,84.956091,2,2,2,1,23,0,0,"[{'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'video_view', 'value': '1'}]","[{'action_type': 'page_engagement', 'value': '0.169912'}, {'action_type': 'post_engagement', 'value': '0.169912'}, {'action_type': 'video_view', 'value': '0.169912'}]",0.169912,1,2024-08-06,2024-08-06,55-64,unknown,382451670462161,0,,,,0,0,1,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,76.516344,331,284,294,25,8,10,3.021148,"[{'action_type': 'web_in_store_purchase', 'value': '1'}, {'action_type': 'omni_add_to_cart', 'value': '3'}, {'action_type': 'omni_initiated_checkout', 'value': '2'}, {'action_type': 'onsite_web_app_view_content', 'value': '12'}, {'action_type': 'landing_page_view', 'value': '7'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '3'}, {'action_type': 'onsite_web_app_purchase', 'value': '1'}, {'action_type': 'page_engagement', 'value': '133'}, {'action_type': 'purchase', 'value': '1'}, {'action_type': 'onsite_web_add_to_cart', 'value': '3'}, {'action_type': 'post_engagement', 'value': '133'}, {'action_type': 'onsite_web_purchase', 'value': '1'}, {'action_type': 'view_content', 'value': '12'}, {'action_type': 'onsite_web_view_content', 'value': '12'}, {'action_type': 'add_to_cart', 'value': '3'}, {'action_type': 'video_view', 'value': '124'}, {'action_type': 'omni_view_content', 'value': '12'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '12'}, {'action_type': 'offsite_conversion.fb_pixel_add_to_cart', 'value': '3'}, {'action_type': 'offsite_conversion.fb_pixel_initiate_checkout', 'value': '2'}, {'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '1'}, {'action_type': 'initiate_checkout', 'value': '2'}, {'action_type': 'link_click', 'value': '9'}, {'action_type': 'omni_purchase', 'value': '1'}]","[{'action_type': 'web_in_store_purchase', 'value': '25.32691'}, {'action_type': 'omni_purchase', 'value': '25.32691'}, {'action_type': 'initiate_checkout', 'value': '12.663455'}, {'action_type': 'omni_view_content', 'value': '2.110576'}, {'action_type': 'link_click', 'value': '2.814101'}, {'action_type': 'onsite_web_add_to_cart', 'value': '8.442303'}, {'action_type': 'page_engagement', 'value': '0.190428'}, {'action_type': 'purchase', 'value': '25.32691'}, {'action_type': 'post_engagement', 'value': '0.190428'}, {'action_type': 'onsite_web_purchase', 'value': '25.32691'}, {'action_type': 'view_content', 'value': '2.110576'}, {'action_type': 'onsite_web_app_purchase', 'value': '25.32691'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '8.442303'}, {'action_type': 'landing_page_view', 'value': '3.61813'}, {'action_type': 'omni_initiated_checkout', 'value': '12.663455'}, {'action_type': 'omni_add_to_cart', 'value': '8.442303'}, {'action_type': 'video_view', 'value': '0.204249'}, {'action_type': 'onsite_web_app_view_content', 'value': '2.110576'}, {'action_type': 'onsite_web_view_content', 'value': '2.110576'}, {'action_type': 'add_to_cart', 'value': '8.442303'}]",25.32691,1.165493,2024-08-06,2024-08-06,65+,female,382451670462161,2.719033,2.532691,"[{'action_type': 'onsite_web_app_purchase', 'value': '449'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '1347'}, {'action_type': 'onsite_web_add_to_cart', 'value': '1347'}, {'action_type': 'web_in_store_purchase', 'value': '449'}, {'action_type': 'omni_purchase', 'value': '449'}, {'action_type': 'omni_add_to_cart', 'value': '1347'}, {'action_type': 'initiate_checkout', 'value': '898'}, {'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '449'}, {'action_type': 'offsite_conversion.fb_pixel_initiate_checkout', 'value': '898'}, {'action_type': 'offsite_conversion.fb_pixel_add_to_cart', 'value': '1347'}, {'action_type': 'view_content', 'value': '5388'}, {'action_type': 'purchase', 'value': '449'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '5388'}, {'action_type': 'onsite_web_purchase', 'value': '449'}, {'action_type': 'omni_initiated_checkout', 'value': '898'}, {'action_type': 'omni_view_content', 'value': '5388'}, {'action_type': 'onsite_web_app_view_content', 'value': '5388'}, {'action_type': 'onsite_web_view_content', 'value': '5388'}, {'action_type': 'add_to_cart', 'value': '1347'}]","[{'action_type': 'omni_purchase', 'value': '17.728179'}]",9,12,124,3,2,1,2.814101,2.110576,8.442303,25.32691,449,17.728179
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,4.997417,2,2,2,1,46,1,50,"[{'action_type': 'onsite_web_app_view_content', 'value': '1'}, {'action_type': 'landing_page_view', 'value': '1'}, {'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'view_content', 'value': '1'}, {'action_type': 'onsite_web_view_content', 'value': '1'}, {'action_type': 'video_view', 'value': '2'}, {'action_type': 'omni_view_content', 'value': '1'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]","[{'action_type': 'omni_view_content', 'value': '0.009995'}, {'action_type': 'link_click', 'value': '0.009995'}, {'action_type': 'page_engagement', 'value': '0.003332'}, {'action_type': 'post_engagement', 'value': '0.003332'}, {'action_type': 'view_content', 'value': '0.009995'}, {'action_type': 'landing_page_view', 'value': '0.009995'}, {'action_type': 'video_view', 'value': '0.004997'}, {'action_type': 'onsite_web_app_view_content', 'value': '0.009995'}, {'action_type': 'onsite_web_view_content', 'value': '0.009995'}]",0.009995,1,2024-08-06,2024-08-06,65+,male,382451670462161,50,0.009995,"[{'action_type': 'view_content', 'value': '449'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '449'}, {'action_type': 'omni_view_content', 'value': '449'}, {'action_type': 'onsite_web_app_view_content', 'value': '449'}, {'action_type': 'onsite_web_view_content', 'value': '449'}]",,1,1,2,0,0,0,0.009995,0.009995,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 3 pestañas,74.285714,7,7,7,2,5,0,0,"[{'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'video_view', 'value': '3'}]","[{'action_type': 'page_engagement', 'value': '0.173333'}, {'action_type': 'post_engagement', 'value': '0.173333'}, {'action_type': 'video_view', 'value': '0.173333'}]",0.52,1,2024-08-06,2024-08-06,25-34,female,382451670462161,0,,,,0,0,3,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 3 pestañas,83.333333,9,9,9,2,11,0,0,"[{'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'video_view', 'value': '3'}]","[{'action_type': 'page_engagement', 'value': '0.25'}, {'action_type': 'post_engagement', 'value': '0.25'}, {'action_type': 'video_view', 'value': '0.25'}]",0.75,1,2024-08-06,2024-08-06,35-44,female,382451670462161,0,,,,0,0,3,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 3 pestañas,82.5,8,8,7,1,4,2,25,"[{'action_type': 'onsite_web_app_view_content', 'value': '2'}, {'action_type': 'landing_page_view', 'value': '2'}, {'action_type': 'page_engagement', 'value': '4'}, {'action_type': 'post_engagement', 'value': '4'}, {'action_type': 'view_content', 'value': '2'}, {'action_type': 'onsite_web_view_content', 'value': '2'}, {'action_type': 'video_view', 'value': '2'}, {'action_type': 'omni_view_content', 'value': '2'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '2'}, {'action_type': 'link_click', 'value': '2'}]","[{'action_type': 'omni_view_content', 'value': '0.33'}, {'action_type': 'link_click', 'value': '0.33'}, {'action_type': 'page_engagement', 'value': '0.165'}, {'action_type': 'post_engagement', 'value': '0.165'}, {'action_type': 'view_content', 'value': '0.33'}, {'action_type': 'landing_page_view', 'value': '0.33'}, {'action_type': 'video_view', 'value': '0.33'}, {'action_type': 'onsite_web_app_view_content', 'value': '0.33'}, {'action_type': 'onsite_web_view_content', 'value': '0.33'}]",0.66,1,2024-08-06,2024-08-06,45-54,female,382451670462161,25,0.33,"[{'action_type': 'view_content', 'value': '898'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '898'}, {'action_type': 'omni_view_content', 'value': '898'}, {'action_type': 'onsite_web_app_view_content', 'value': '898'}, {'action_type': 'onsite_web_view_content', 'value': '898'}]",,2,2,2,0,0,0,0.33,0.33,0,0,0,0
